Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
29	Node22	2	dev=local(2)	InData	1	0
29	Node22	2	dev=local(2)	OutData	4	0
29	Node22	2	dev=local(2)	DropData	0	0
29	Node22	-1	all	SatisfiedInterests	6	0
29	Node22	-1	all	TimedOutInterests	1	0
29	Node23	0	dev=net(0)	InInterests	0	0
29	Node23	0	dev=net(0)	OutInterests	1	0.0439453
29	Node23	0	dev=net(0)	DropInterests	0	0
29	Node23	0	dev=net(0)	InNacks	0	0
29	Node23	0	dev=net(0)	OutNacks	0	0
29	Node23	0	dev=net(0)	DropNacks	0	0
29	Node23	0	dev=net(0)	InData	1	0
29	Node23	0	dev=net(0)	OutData	0	0
29	Node23	0	dev=net(0)	DropData	0	0
29	Node23	1	dev=net(1)	InInterests	0	0
29	Node23	1	dev=net(1)	OutInterests	3	0.170898
29	Node23	1	dev=net(1)	DropInterests	0	0
29	Node23	1	dev=net(1)	InNacks	0	0
29	Node23	1	dev=net(1)	OutNacks	0	0
29	Node23	1	dev=net(1)	DropNacks	0	0
29	Node23	1	dev=net(1)	InData	3	0
29	Node23	1	dev=net(1)	OutData	0	0
29	Node23	1	dev=net(1)	DropData	0	0
29	Node23	2	dev=net(2)	InInterests	4	0
29	Node23	2	dev=net(2)	OutInterests	0	0
29	Node23	2	dev=net(2)	DropInterests	0	0
29	Node23	2	dev=net(2)	InNacks	0	0
29	Node23	2	dev=net(2)	OutNacks	0	0
29	Node23	2	dev=net(2)	DropNacks	0	0
29	Node23	2	dev=net(2)	InData	0	0
29	Node23	2	dev=net(2)	OutData	4	0.601562
29	Node23	2	dev=net(2)	DropData	0	0
29	Node23	-1	all	SatisfiedInterests	4	0
29	Node23	-1	all	TimedOutInterests	1	0
29	Node24	0	dev=net(0)	InInterests	5	0
29	Node24	0	dev=net(0)	OutInterests	1	0.0439453
29	Node24	0	dev=net(0)	DropInterests	0	0
29	Node24	0	dev=net(0)	InNacks	0	0
29	Node24	0	dev=net(0)	OutNacks	0	0
29	Node24	0	dev=net(0)	DropNacks	0	0
29	Node24	0	dev=net(0)	InData	1	0
29	Node24	0	dev=net(0)	OutData	4	0.634766
29	Node24	0	dev=net(0)	DropData	0	0
29	Node24	1	dev=net(1)	InInterests	3	0
29	Node24	1	dev=net(1)	OutInterests	0	0
29	Node24	1	dev=net(1)	DropInterests	2	0
29	Node24	1	dev=net(1)	InNacks	0	0
29	Node24	1	dev=net(1)	OutNacks	0	0
29	Node24	1	dev=net(1)	DropNacks	0	0
29	Node24	1	dev=net(1)	InData	0	0
29	Node24	1	dev=net(1)	OutData	3	0.529297
29	Node24	1	dev=net(1)	DropData	0	0
29	Node24	2	dev=local(2)	InInterests	1	0
29	Node24	2	dev=local(2)	OutInterests	5	0
29	Node24	2	dev=local(2)	DropInterests	0	0
29	Node24	2	dev=local(2)	InNacks	0	0
29	Node24	2	dev=local(2)	OutNacks	0	0
29	Node24	2	dev=local(2)	DropNacks	0	0
29	Node24	2	dev=local(2)	InData	4	0
29	Node24	2	dev=local(2)	OutData	1	0
29	Node24	2	dev=local(2)	DropData	0	0
29	Node24	-1	all	SatisfiedInterests	6	0
29	Node24	-1	all	TimedOutInterests	1	0
30	Node11	0	dev=net(0)	InInterests	1	0
30	Node11	0	dev=net(0)	OutInterests	3	0.217773
30	Node11	0	dev=net(0)	DropInterests	0	0
30	Node11	0	dev=net(0)	InNacks	0	0
30	Node11	0	dev=net(0)	OutNacks	0	0
30	Node11	0	dev=net(0)	DropNacks	0	0
30	Node11	0	dev=net(0)	InData	2	0
30	Node11	0	dev=net(0)	OutData	1	0.0722656
30	Node11	0	dev=net(0)	DropData	0	0
30	Node11	2	dev=local(2)	InInterests	3	0
30	Node11	2	dev=local(2)	OutInterests	1	0
30	Node11	2	dev=local(2)	DropInterests	0	0
30	Node11	2	dev=local(2)	InNacks	0	0
30	Node11	2	dev=local(2)	OutNacks	0	0
30	Node11	2	dev=local(2)	DropNacks	0	0
30	Node11	2	dev=local(2)	InData	1	0
30	Node11	2	dev=local(2)	OutData	2	0
30	Node11	2	dev=local(2)	DropData	0	0
30	Node11	-1	all	SatisfiedInterests	3	0
30	Node11	-1	all	TimedOutInterests	0	0
30	Node12	0	dev=net(0)	InInterests	3	0
30	Node12	0	dev=net(0)	OutInterests	1	0.0439453
30	Node12	0	dev=net(0)	DropInterests	0	0
30	Node12	0	dev=net(0)	InNacks	0	0
30	Node12	0	dev=net(0)	OutNacks	0	0
30	Node12	0	dev=net(0)	DropNacks	0	0
30	Node12	0	dev=net(0)	InData	1	0
30	Node12	0	dev=net(0)	OutData	2	0.333984
30	Node12	0	dev=net(0)	DropData	0	0
30	Node12	2	dev=net(2)	InInterests	1	0
30	Node12	2	dev=net(2)	OutInterests	3	0.217773
30	Node12	2	dev=net(2)	DropInterests	0	0
30	Node12	2	dev=net(2)	InNacks	0	0
30	Node12	2	dev=net(2)	OutNacks	0	0
30	Node12	2	dev=net(2)	DropNacks	0	0
30	Node12	2	dev=net(2)	InData	2	0
30	Node12	2	dev=net(2)	OutData	1	0.0722656
30	Node12	2	dev=net(2)	DropData	0	0
30	Node12	-1	all	SatisfiedInterests	3	0
30	Node12	-1	all	TimedOutInterests	0	0
30	Node21	0	dev=net(0)	InInterests	1	0
30	Node21	0	dev=net(0)	OutInterests	0	0
30	Node21	0	dev=net(0)	DropInterests	0	0
30	Node21	0	dev=net(0)	InNacks	0	0
30	Node21	0	dev=net(0)	OutNacks	0	0
30	Node21	0	dev=net(0)	DropNacks	0	0
30	Node21	0	dev=net(0)	InData	0	0
30	Node21	0	dev=net(0)	OutData	1	0.0722656
30	Node21	0	dev=net(0)	DropData	0	0
30	Node21	1	dev=net(1)	InInterests	0	0
30	Node21	1	dev=net(1)	OutInterests	1	0.0439453
30	Node21	1	dev=net(1)	DropInterests	0	0
30	Node21	1	dev=net(1)	InNacks	0	0
30	Node21	1	dev=net(1)	OutNacks	0	0
30	Node21	1	dev=net(1)	DropNacks	0	0
30	Node21	1	dev=net(1)	InData	1	0
30	Node21	1	dev=net(1)	OutData	0	0
30	Node21	1	dev=net(1)	DropData	0	0
30	Node21	-1	all	SatisfiedInterests	1	0
30	Node21	-1	all	TimedOutInterests	0	0
30	Node22	0	dev=net(0)	InInterests	0	0
30	Node22	0	dev=net(0)	OutInterests	1	0.0439453
30	Node22	0	dev=net(0)	DropInterests	0	0
30	Node22	0	dev=net(0)	InNacks	0	0
30	Node22	0	dev=net(0)	OutNacks	0	0
30	Node22	0	dev=net(0)	DropNacks	0	0
30	Node22	0	dev=net(0)	InData	1	0
30	Node22	0	dev=net(0)	OutData	0	0
30	Node22	0	dev=net(0)	DropData	0	0
30	Node22	1	dev=net(1)	InInterests	0	0
30	Node22	1	dev=net(1)	OutInterests	1	0.0634766
30	Node22	1	dev=net(1)	DropInterests	0	0
30	Node22	1	dev=net(1)	InNacks	0	0
30	Node22	1	dev=net(1)	OutNacks	0	0
30	Node22	1	dev=net(1)	DropNacks	0	0
30	Node22	1	dev=net(1)	InData	1	0
30	Node22	1	dev=net(1)	OutData	0	0
30	Node22	1	dev=net(1)	DropData	0	0
30	Node22	2	dev=local(2)	InInterests	2	0
30	Node22	2	dev=local(2)	OutInterests	0	0
30	Node22	2	dev=local(2)	DropInterests	0	0
30	Node22	2	dev=local(2)	InNacks	0	0
30	Node22	2	dev=local(2)	OutNacks	0	0
30	Node22	2	dev=local(2)	DropNacks	0	0
30	Node22	2	dev=local(2)	InData	0	0
30	Node22	2	dev=local(2)	OutData	2	0
30	Node22	2	dev=local(2)	DropData	0	0
30	Node22	-1	all	SatisfiedInterests	2	0
30	Node22	-1	all	TimedOutInterests	0	0
30	Node23	0	dev=net(0)	InInterests	1	0
30	Node23	0	dev=net(0)	OutInterests	0	0
30	Node23	0	dev=net(0)	DropInterests	1	0
30	Node23	0	dev=net(0)	InNacks	0	0
30	Node23	0	dev=net(0)	OutNacks	0	0
30	Node23	0	dev=net(0)	DropNacks	0	0
30	Node23	0	dev=net(0)	InData	0	0
30	Node23	0	dev=net(0)	OutData	1	0.0722656
30	Node23	0	dev=net(0)	DropData	0	0
30	Node23	1	dev=net(1)	InInterests	1	0
30	Node23	1	dev=net(1)	OutInterests	3	0.217773
30	Node23	1	dev=net(1)	DropInterests	0	0
30	Node23	1	dev=net(1)	InNacks	0	0
30	Node23	1	dev=net(1)	OutNacks	0	0
30	Node23	1	dev=net(1)	DropNacks	0	0
30	Node23	1	dev=net(1)	InData	2	0
30	Node23	1	dev=net(1)	OutData	1	0.0722656
30	Node23	1	dev=net(1)	DropData	0	0
30	Node23	2	dev=net(2)	InInterests	3	0
30	Node23	2	dev=net(2)	OutInterests	1	0.0439453
30	Node23	2	dev=net(2)	DropInterests	0	0
30	Node23	2	dev=net(2)	InNacks	0	0
30	Node23	2	dev=net(2)	OutNacks	0	0
30	Node23	2	dev=net(2)	DropNacks	0	0
30	Node23	2	dev=net(2)	InData	1	0
30	Node23	2	dev=net(2)	OutData	2	0.333984
30	Node23	2	dev=net(2)	DropData	0	0
30	Node23	-1	all	SatisfiedInterests	3	0
30	Node23	-1	all	TimedOutInterests	0	0
